max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
0.0004038,0.025,0.10400000000000001,2.623,0.7120000000000001,0.98,STARLINK-2028,STARLINK-2587,47646-48399,2022-05-20 19:50:03.365,2022 May 20 19:50:01.459,2022 May 20 19:50:05.270,2022-05-21 00:39:50,47646,48399,2022-05-20 19:50:00
6.423e-05,0.075,0.217,11.724,4.138999999999999,3.9189999999999996,STARLINK-2053,STARLINK-2691,47663-48647,2022-05-22 09:19:34.777,2022 May 22 09:19:34.351,2022 May 22 09:19:35.204,2022-05-19 11:42:51,47663,48647,2022-05-22 09:20:00
2.673e-05,0.098,0.396,5.129,5.194,5.461,STARLINK-1857,STARLINK-2053,47144-47663,2022-05-21 09:04:25.098,2022 May 21 09:04:24.126,2022 May 21 09:04:26.070,2022-05-17 00:28:33,47144,47663,2022-05-21 09:05:00
1.565e-05,0.129,0.517,5.129,5.26,5.528,STARLINK-1857,STARLINK-2053,47144-47663,2022-05-21 10:39:56.076,2022 May 21 10:39:55.106,2022 May 21 10:39:57.045,2022-05-17 00:28:33,47144,47663,2022-05-21 10:40:00
7.248e-05,0.062,0.231,7.662999999999999,5.474,5.513,STARLINK-2053,ORBICRAFT-ZORKY,47663-47960,2022-05-21 01:23:15.637,2022 May 21 01:23:14.985,2022 May 21 01:23:16.289,2022-05-16 12:12:38,47663,47960,2022-05-21 01:25:00
1.47e-05,0.135,0.524,6.523,7.518,7.178,STARLINK-2056,STARLINK-2745,47665-48671,2022-05-25 23:21:14.879,2022 May 25 23:21:14.117,2022 May 25 23:21:15.642,2022-05-20 12:36:39,47665,48671,2022-05-25 23:20:00
0.000357,0.028999999999999998,0.10099999999999999,8.935,7.221,7.275,STARLINK-2056,STARLINK-2237,47665-48583,2022-05-25 16:14:36.778,2022 May 25 16:14:36.219,2022 May 25 16:14:37.337,2022-05-20 12:36:39,47665,48583,2022-05-25 16:15:00
1.852e-05,0.11699999999999999,0.48,4.152,7.649,7.246,STARLINK-2132,STARLINK-2582,47729-48460,2022-05-23 11:33:28.483,2022 May 23 11:33:27.285,2022 May 23 11:33:29.682,2022-05-17 12:13:07,47729,48460,2022-05-23 11:35:00
4.285e-05,0.086,0.282,10.237,6.062,5.781000000000001,STARLINK-2133,STARLINK-2132,47406-47729,2022-05-23 12:54:12.030,2022 May 23 12:54:11.542,2022 May 23 12:54:12.517,2022-05-18 20:47:37,47406,47729,2022-05-23 12:55:00
2.296e-05,0.11,0.413,7.376,3.9019999999999997,4.292,STARLINK-1761,STARLINK-2132,47626-47729,2022-05-24 00:56:19.770,2022 May 24 00:56:19.095,2022 May 24 00:56:20.446,2022-05-21 00:39:50,47626,47729,2022-05-24 00:55:00
3.327e-05,0.087,0.358,4.144,5.824,6.151,STARLINK-2132,STARLINK-2582,47729-48460,2022-05-22 22:01:28.213,2022 May 22 22:01:27.010,2022 May 22 22:01:29.416,2022-05-18 12:19:32,47729,48460,2022-05-22 22:00:00
3.145e-05,0.10099999999999999,0.32899999999999996,10.222999999999999,4.569,4.2219999999999995,STARLINK-2133,STARLINK-2132,47406-47729,2022-05-22 01:04:33.037,2022 May 22 01:04:32.549,2022 May 22 01:04:33.525,2022-05-19 11:42:51,47406,47729,2022-05-22 01:05:00
2.658e-05,0.098,0.39899999999999997,4.637,6.422000000000001,6.416,STARLINK-1741,STARLINK-2149,46567-47738,2022-05-23 06:04:48.389,2022 May 23 06:04:47.314,2022 May 23 06:04:49.464,2022-05-18 12:19:32,46567,47738,2022-05-23 06:05:00
1.118e-05,0.14800000000000002,0.628,0.53,4.0969999999999995,4.045,STARLINK-2189,STARLINK-2267,47768-48031,2022-05-23 23:05:10.587,2022 May 23 23:05:01.232,2022 May 23 23:05:19.942,2022-05-21 00:39:51,47768,48031,2022-05-23 23:05:00
